"code.source","code.target","Relationship","adjustment","group.id"
5771,5771,"n:1","1988 to 1976",1
5772,5772,"n:1","1988 to 1976",1
5773,5773,"n:1","1988 to 1976",1
5774,5774,"n:1","1988 to 1976",1
5775,5775,"n:1","1988 to 1976",1
5776,5779,"n:1","1988 to 1976",1
5777,5779,"n:1","1988 to 1976",1
5778,5779,"n:1","1988 to 1976",1
5779,5779,"n:1","1988 to 1976",1
5791,5798,"n:1","1988 to 1976",1
5791,5839,"n:n","1988 to 1976",1
5791,58319,"1:n","1988 to 1976",1
5792,5792,"1:1","1988 to 1976",NA
5792,58339,"1:1","1988 to 1976",NA
5793,5793,"1:1","1988 to 1976",NA
5793,5839,"n:n","1988 to 1976",1
5793,58349,"1:n","1988 to 1976",1
5793,58359,"n:n","1988 to 1976",1
5794,5794,"1:1","1988 to 1976",NA
5795,5795,"n:1","1988 to 1976",1
5796,5796,"n:1","1988 to 1976",1
5797,5797,"n:1","1988 to 1976",1
5798,5798,"n:1","1988 to 1976",1
5799,573,"n:n","1988 to 1976",1
5799,576,"n:n","1988 to 1976",1
5799,5711,"n:n","1988 to 1976",1
5799,5712,"n:n","1988 to 1976",1
5799,5721,"n:n","1988 to 1976",1
5799,5722,"n:n","1988 to 1976",1
5799,5729,"n:n","1988 to 1976",1
5799,5752,"n:n","1988 to 1976",1
5799,5771,"n:n","1988 to 1976",1
5799,5772,"n:n","1988 to 1976",1
5799,5773,"n:n","1988 to 1976",1
5799,5774,"n:n","1988 to 1976",1
5799,5775,"n:n","1988 to 1976",1
5799,5779,"n:n","1988 to 1976",1
5799,5795,"n:n","1988 to 1976",1
5799,5796,"n:n","1988 to 1976",1
5799,5797,"n:n","1988 to 1976",1
5799,5799,"1:n","1988 to 1976",1
5799,5827,"n:n","1988 to 1976",1
5799,5829,"n:n","1988 to 1976",1
5799,5837,"n:n","1988 to 1976",1
5799,5839,"n:n","1988 to 1976",1
5799,5841,"n:n","1988 to 1976",1
5799,5851,"n:n","1988 to 1976",1
5799,58219,"n:n","1988 to 1976",1
5799,58229,"n:n","1988 to 1976",1
5799,58239,"n:n","1988 to 1976",1
5799,58249,"n:n","1988 to 1976",1
5799,58259,"n:n","1988 to 1976",1
5799,58269,"n:n","1988 to 1976",1
5799,58329,"n:n","1988 to 1976",1
5799,58359,"n:n","1988 to 1976",1
5799,58369,"n:n","1988 to 1976",1
5799,58421,"n:n","1988 to 1976",1
5799,58422,"n:n","1988 to 1976",1
5799,58431,"n:n","1988 to 1976",1
5799,58432,"n:n","1988 to 1976",1
5799,58491,"n:n","1988 to 1976",1
5799,58492,"n:n","1988 to 1976",1
5799,58521,"n:n","1988 to 1976",1
5799,58522,"n:n","1988 to 1976",1
5799,58529,"n:n","1988 to 1976",1
5811,5841,"n:n","1988 to 1976",1
5811,58432,"n:n","1988 to 1976",1
5811,58492,"n:n","1988 to 1976",1
5811,58521,"n:n","1988 to 1976",1
5811,58529,"n:n","1988 to 1976",1
5811,89399,"n:n","1988 to 1976",1
5812,5827,"n:n","1988 to 1976",1
5812,5829,"n:n","1988 to 1976",1
5812,5837,"n:n","1988 to 1976",1
5812,5839,"n:n","1988 to 1976",1
5812,5851,"n:n","1988 to 1976",1
5812,58219,"n:n","1988 to 1976",1
5812,58229,"n:n","1988 to 1976",1
5812,58239,"n:n","1988 to 1976",1
5812,58249,"n:n","1988 to 1976",1
5812,58259,"n:n","1988 to 1976",1
5812,58269,"n:n","1988 to 1976",1
5812,58312,"n:n","1988 to 1976",1
5812,58329,"n:n","1988 to 1976",1
5812,58332,"n:n","1988 to 1976",1
5812,58342,"n:n","1988 to 1976",1
5812,58352,"n:n","1988 to 1976",1
5812,58369,"n:n","1988 to 1976",1
5812,58422,"n:n","1988 to 1976",1
5812,58432,"n:n","1988 to 1976",1
5812,58492,"n:n","1988 to 1976",1
5812,58493,"n:n","1988 to 1976",1
5812,58521,"n:n","1988 to 1976",1
5812,58529,"n:n","1988 to 1976",1
5812,89399,"n:n","1988 to 1976",1
5813,5827,"n:n","1988 to 1976",1
5813,5829,"n:n","1988 to 1976",1
5813,5837,"n:n","1988 to 1976",1
5813,5839,"n:n","1988 to 1976",1
5813,5851,"n:n","1988 to 1976",1
5813,58219,"n:n","1988 to 1976",1
5813,58229,"n:n","1988 to 1976",1
5813,58239,"n:n","1988 to 1976",1
5813,58249,"n:n","1988 to 1976",1
5813,58259,"n:n","1988 to 1976",1
5813,58269,"n:n","1988 to 1976",1
5813,58312,"n:n","1988 to 1976",1
5813,58329,"n:n","1988 to 1976",1
5813,58332,"n:n","1988 to 1976",1
5813,58342,"n:n","1988 to 1976",1
5813,58352,"n:n","1988 to 1976",1
5813,58369,"n:n","1988 to 1976",1
5813,58422,"n:n","1988 to 1976",1
5813,58432,"n:n","1988 to 1976",1
5813,58492,"n:n","1988 to 1976",1
5813,58529,"n:n","1988 to 1976",1
5813,89399,"n:n","1988 to 1976",1
5814,5827,"n:n","1988 to 1976",1
5814,5829,"n:n","1988 to 1976",1
5814,5837,"n:n","1988 to 1976",1
5814,5839,"n:n","1988 to 1976",1
5814,5851,"n:n","1988 to 1976",1
5814,58219,"n:n","1988 to 1976",1
5814,58229,"n:n","1988 to 1976",1
5814,58239,"n:n","1988 to 1976",1
5814,58249,"n:n","1988 to 1976",1
5814,58259,"n:n","1988 to 1976",1
5814,58269,"n:n","1988 to 1976",1
5814,58312,"n:n","1988 to 1976",1
5814,58329,"n:n","1988 to 1976",1
5814,58332,"n:n","1988 to 1976",1
5814,58342,"n:n","1988 to 1976",1
5814,58352,"n:n","1988 to 1976",1
5814,58369,"n:n","1988 to 1976",1
5814,58422,"n:n","1988 to 1976",1
5814,58432,"n:n","1988 to 1976",1
5814,58492,"n:n","1988 to 1976",1
5814,58529,"n:n","1988 to 1976",1
5814,89399,"n:n","1988 to 1976",1
5815,89399,"n:1","1988 to 1976",1
5816,5827,"n:n","1988 to 1976",1
5816,5829,"n:n","1988 to 1976",1
5816,5837,"n:n","1988 to 1976",1
5816,5839,"n:n","1988 to 1976",1
5816,5851,"n:n","1988 to 1976",1
5816,58219,"n:n","1988 to 1976",1
5816,58229,"n:n","1988 to 1976",1
5816,58239,"n:n","1988 to 1976",1
5816,58249,"n:n","1988 to 1976",1
5816,58259,"n:n","1988 to 1976",1
5816,58269,"n:n","1988 to 1976",1
5816,58312,"n:n","1988 to 1976",1
5816,58329,"n:n","1988 to 1976",1
5816,58332,"n:n","1988 to 1976",1
5816,58342,"n:n","1988 to 1976",1
5816,58352,"n:n","1988 to 1976",1
5816,58369,"n:n","1988 to 1976",1
5816,58422,"n:n","1988 to 1976",1
5816,58432,"n:n","1988 to 1976",1
