"code.target","code.source","Relationship","adjustment","group.id"
81340,5799,"n:1","1992 to 1988",70
81350,5799,"n:1","1992 to 1988",70
81400,5822,"1:1","1992 to 1988",NA
90111,7111,"1:1","1992 to 1988",NA
90112,7112,"1:1","1992 to 1988",NA
90121,712,"n:1","1992 to 1988",71
90122,712,"n:1","1992 to 1988",71
90130,7113,"n:n","1992 to 1988",72
90130,7132,"n:n","1992 to 1988",72
90140,7113,"n:n","1992 to 1988",72
90140,7132,"n:n","1992 to 1988",72
90210,7411,"1:1","1992 to 1988",NA
90220,7412,"1:1","1992 to 1988",NA
90230,7413,"1:1","1992 to 1988",NA
90240,7414,"1:1","1992 to 1988",NA
90300,7431,"1:1","1992 to 1988",NA
90411,7511,"1:1","1992 to 1988",NA
90412,7512,"1:1","1992 to 1988",NA
90420,7513,"1:1","1992 to 1988",NA
90500,7521,"1:1","1992 to 1988",NA
90610,7522,"1:1","1992 to 1988",NA
90620,7523,"1:1","1992 to 1988",NA
90700,7524,"1:1","1992 to 1988",NA
90810,7525,"n:1","1992 to 1988",73
90820,7525,"n:1","1992 to 1988",73
90830,7525,"n:1","1992 to 1988",73
90910,7526,"n:1","1992 to 1988",74
90920,7526,"n:1","1992 to 1988",74
90930,7526,"n:1","1992 to 1988",74
90940,7526,"n:1","1992 to 1988",74
90950,7526,"n:1","1992 to 1988",74
91010,7527,"1:1","1992 to 1988",NA
91020,7528,"n:1","1992 to 1988",74
91030,7528,"n:n","1992 to 1988",74
91030,7529,"n:n","1992 to 1988",74
91040,7528,"n:n","1992 to 1988",74
91040,7529,"n:n","1992 to 1988",74
91050,7528,"n:n","1992 to 1988",74
91050,7529,"n:n","1992 to 1988",74
91091,7528,"n:n","1992 to 1988",74
91091,7529,"n:n","1992 to 1988",74
91099,7528,"n:n","1992 to 1988",74
91099,7529,"n:n","1992 to 1988",74
100110,411,"1:1","1992 to 1988",NA
100190,412,"1:1","1992 to 1988",NA
100200,451,"1:1","1992 to 1988",NA
100300,430,"1:1","1992 to 1988",NA
100400,452,"1:1","1992 to 1988",NA
100510,441,"1:1","1992 to 1988",NA
100590,449,"1:1","1992 to 1988",NA
100610,421,"1:1","1992 to 1988",NA
100620,422,"1:1","1992 to 1988",NA
100630,4231,"1:1","1992 to 1988",NA
100640,4232,"1:1","1992 to 1988",NA
100700,453,"1:1","1992 to 1988",NA
100810,4592,"1:1","1992 to 1988",NA
100820,4591,"1:1","1992 to 1988",NA
100830,4593,"1:1","1992 to 1988",NA
100890,4599,"1:1","1992 to 1988",NA
110100,461,"1:1","1992 to 1988",NA
110210,4719,"n:1","1992 to 1988",75
110220,4711,"1:1","1992 to 1988",NA
110230,4719,"n:1","1992 to 1988",75
110290,4719,"n:1","1992 to 1988",75
110311,462,"n:1","1992 to 1988",76
110312,4722,"n:1","1992 to 1988",77
110313,4721,"1:1","1992 to 1988",NA
110314,4722,"n:1","1992 to 1988",77
110319,4722,"n:1","1992 to 1988",77
110321,462,"n:n","1992 to 1988",76
110321,4729,"n:n","1992 to 1988",76
110329,462,"n:n","1992 to 1988",76
110329,4729,"n:n","1992 to 1988",76
110411,4813,"n:1","1992 to 1988",78
110412,4813,"n:1","1992 to 1988",78
110419,4813,"n:1","1992 to 1988",78
110421,4814,"n:1","1992 to 1988",79
110422,4814,"n:1","1992 to 1988",79
110423,4814,"n:1","1992 to 1988",79
110429,4814,"n:1","1992 to 1988",79
110430,4815,"1:1","1992 to 1988",NA
110510,5641,"1:1","1992 to 1988",NA
110520,5642,"1:1","1992 to 1988",NA
110610,5646,"1:1","1992 to 1988",NA
110620,5647,"1:1","1992 to 1988",NA
110630,5648,"1:1","1992 to 1988",NA
110710,482,"n:1","1992 to 1988",80
110720,482,"n:1","1992 to 1988",80
110811,59211,"1:1","1992 to 1988",NA
110812,59212,"1:1","1992 to 1988",NA
110813,59213,"1:1","1992 to 1988",NA
110814,59214,"1:1","1992 to 1988",NA
110819,59215,"1:1","1992 to 1988",NA
110820,59216,"1:1","1992 to 1988",NA
110900,59217,"1:1","1992 to 1988",NA
120100,2222,"1:1","1992 to 1988",NA
120210,22211,"1:1","1992 to 1988",NA
120220,22212,"1:1","1992 to 1988",NA
120300,2231,"1:1","1992 to 1988",NA
120400,2234,"1:1","1992 to 1988",NA
120500,22261,"1:1","1992 to 1988",NA
120600,2224,"1:1","1992 to 1988",NA
120710,2227,"n:n","1992 to 1988",81
120710,2232,"n:n","1992 to 1988",81
120710,2235,"n:n","1992 to 1988",81
120710,2237,"n:n","1992 to 1988",81
120720,2223,"1:1","1992 to 1988",NA
120730,2227,"n:n","1992 to 1988",81
120730,2232,"n:n","1992 to 1988",81
120730,2235,"n:n","1992 to 1988",81
120730,2237,"n:n","1992 to 1988",81
120740,2225,"1:1","1992 to 1988",NA
120750,22262,"1:1","1992 to 1988",NA
120760,2227,"n:n","1992 to 1988",81
120760,2232,"n:n","1992 to 1988",81
120760,2235,"n:n","1992 to 1988",81
120760,2237,"n:n","1992 to 1988",81
120791,2227,"n:n","1992 to 1988",81
120791,2232,"n:n","1992 to 1988",81
120791,2235,"n:n","1992 to 1988",81
120791,2237,"n:n","1992 to 1988",81
120792,2227,"n:n","1992 to 1988",81
120792,2232,"n:n","1992 to 1988",81
120792,2235,"n:n","1992 to 1988",81
120792,2237,"n:n","1992 to 1988",81
120799,2227,"n:n","1992 to 1988",81
120799,2232,"n:n","1992 to 1988",81
120799,2235,"n:n","1992 to 1988",81
120799,2237,"n:n","1992 to 1988",81
120810,2239,"n:1","1992 to 1988",82
120890,2239,"n:1","1992 to 1988",82
120911,29251,"1:1","1992 to 1988",NA
120919,29252,"n:1","1992 to 1988",83
120921,29252,"n:1","1992 to 1988",83
120922,29252,"n:1","1992 to 1988",83
120923,29252,"n:1","1992 to 1988",83
120924,29252,"n:1","1992 to 1988",83
120925,29252,"n:1","1992 to 1988",83
120926,29252,"n:1","1992 to 1988",83
120929,29252,"n:1","1992 to 1988",83
120930,29253,"1:1","1992 to 1988",NA
120991,29254,"1:1","1992 to 1988",NA
120999,29259,"1:1","1992 to 1988",NA
121010,5484,"n:1","1992 to 1988",84
121020,5484,"n:1","1992 to 1988",84
121110,29241,"n:n","1992 to 1988",85
121110,29249,"n:n","1992 to 1988",85
121120,29242,"1:1","1992 to 1988",NA
121190,29241,"n:n","1992 to 1988",85
121190,29249,"n:n","1992 to 1988",85
121210,5485,"n:n","1992 to 1988",86
121210,5488,"n:n","1992 to 1988",86
121210,5489,"n:n","1992 to 1988",86
121220,29297,"n:1","1992 to 1988",60
121230,5485,"n:n","1992 to 1988",86
121230,5488,"n:n","1992 to 1988",86
121230,5489,"n:n","1992 to 1988",86
121291,5487,"1:1","1992 to 1988",NA
121292,5485,"n:n","1992 to 1988",86
121292,5488,"n:n","1992 to 1988",86
121292,5489,"n:n","1992 to 1988",86
121299,5485,"n:n","1992 to 1988",86
121299,5488,"n:n","1992 to 1988",86
121299,5489,"n:n","1992 to 1988",86
121300,8111,"1:1","1992 to 1988",NA
121410,8112,"1:1","1992 to 1988",NA
121490,8113,"1:1","1992 to 1988",NA
130110,29221,"n:n","1992 to 1988",87
130110,29229,"n:n","1992 to 1988",87
130120,29222,"1:1","1992 to 1988",NA
130190,29221,"n:n","1992 to 1988",87
130190,29229,"n:n","1992 to 1988",87
130211,29294,"n:n","1992 to 1988",88
130211,54141,"n:n","1992 to 1988",88
130211,55135,"n:n","1992 to 1988",88
130212,29294,"n:n","1992 to 1988",88
130212,55135,"n:n","1992 to 1988",88
130213,29294,"n:n","1992 to 1988",88
130213,55135,"n:n","1992 to 1988",88
130214,29294,"n:n","1992 to 1988",88
130214,55135,"n:n","1992 to 1988",88
130219,29294,"n:n","1992 to 1988",88
130219,55135,"n:n","1992 to 1988",88
130220,29295,"1:1","1992 to 1988",NA
130231,29296,"n:1","1992 to 1988",89
130232,29296,"n:1","1992 to 1988",89
130239,29296,"n:1","1992 to 1988",89
140110,29231,"1:1","1992 to 1988",NA
140120,29232,"1:1","1992 to 1988",NA
140190,29239,"1:1","1992 to 1988",NA
140210,29292,"n:n","1992 to 1988",90
140210,29293,"n:n","1992 to 1988",90
140210,29299,"n:n","1992 to 1988",90
140291,29292,"n:n","1992 to 1988",90
140291,29293,"n:n","1992 to 1988",90
140291,29299,"n:n","1992 to 1988",90
140299,29292,"n:n","1992 to 1988",90
140299,29293,"n:n","1992 to 1988",90
140299,29299,"n:n","1992 to 1988",90
140310,29292,"n:n","1992 to 1988",90
140310,29293,"n:n","1992 to 1988",90
140310,29299,"n:n","1992 to 1988",90
140390,29292,"n:n","1992 to 1988",90
140390,29293,"n:n","1992 to 1988",90
140390,29299,"n:n","1992 to 1988",90
140410,29292,"n:n","1992 to 1988",90
140410,29293,"n:n","1992 to 1988",90
140410,29299,"n:n","1992 to 1988",90
140420,2632,"1:1","1992 to 1988",NA
140490,29292,"n:n","1992 to 1988",90
140490,29293,"n:n","1992 to 1988",90
140490,29299,"n:n","1992 to 1988",90
150100,4112,"1:1","1992 to 1988",NA
150200,41132,"1:1","1992 to 1988",NA
150300,41133,"1:1","1992 to 1988",NA
150410,41111,"1:1","1992 to 1988",NA
150420,41112,"1:1","1992 to 1988",NA
150430,41113,"1:1","1992 to 1988",NA
150510,41134,"n:n","1992 to 1988",91
150510,41135,"n:n","1992 to 1988",91
150590,41134,"n:n","1992 to 1988",91
150590,41135,"n:n","1992 to 1988",91
150600,41139,"1:1","1992 to 1988",NA
150710,42111,"1:1","1992 to 1988",NA
150790,42119,"1:1","1992 to 1988",NA
150810,42131,"1:1","1992 to 1988",NA
150890,42139,"1:1","1992 to 1988",NA
150910,42141,"1:1","1992 to 1988",NA
150990,42142,"1:1","1992 to 1988",NA
151000,42149,"1:1","1992 to 1988",NA
151110,42221,"1:1","1992 to 1988",NA
151190,42229,"1:1","1992 to 1988",NA
151211,42151,"1:1","1992 to 1988",NA
151219,42159,"1:1","1992 to 1988",NA
151221,42121,"1:1","1992 to 1988",NA
151229,42129,"1:1","1992 to 1988",NA
151311,42231,"1:1","1992 to 1988",NA
151319,42239,"1:1","1992 to 1988",NA
151321,42241,"1:1","1992 to 1988",NA
151329,42249,"1:1","1992 to 1988",NA
151410,42171,"1:1","1992 to 1988",NA
151490,42179,"1:1","1992 to 1988",NA
151511,42211,"1:1","1992 to 1988",NA
151519,42219,"1:1","1992 to 1988",NA
151521,42161,"1:1","1992 to 1988",NA
151529,42169,"1:1","1992 to 1988",NA
151530,4225,"1:1","1992 to 1988",NA
151540,42291,"n:n","1992 to 1988",92
151540,42299,"n:n","1992 to 1988",92
151550,4218,"1:1","1992 to 1988",NA
151560,42291,"n:n","1992 to 1988",92
151560,42299,"n:n","1992 to 1988",92
151590,42291,"n:n","1992 to 1988",92
151590,42299,"n:n","1992 to 1988",92
151610,43121,"1:1","1992 to 1988",NA
151620,43122,"1:1","1992 to 1988",NA
151710,9101,"1:1","1992 to 1988",NA
151790,9109,"1:1","1992 to 1988",NA
151800,4311,"1:1","1992 to 1988",NA
151911,43131,"n:1","1992 to 1988",93
151912,43131,"n:1","1992 to 1988",93
151913,43131,"n:1","1992 to 1988",93
151919,43131,"n:1","1992 to 1988",93
151920,43131,"n:1","1992 to 1988",93
151930,43131,"n:n","1992 to 1988",93
151930,51217,"1:n","1992 to 1988",93
152010,51222,"n:1","1992 to 1988",94
152090,51222,"n:1","1992 to 1988",94
152110,43141,"1:1","1992 to 1988",NA
152190,43142,"1:1","1992 to 1988",NA
152200,43133,"1:1","1992 to 1988",NA
160100,172,"1:1","1992 to 1988",NA
160210,9811,"1:1","1992 to 1988",NA
160220,173,"1:1","1992 to 1988",NA
160231,174,"n:1","1992 to 1988",95
160239,174,"n:1","1992 to 1988",95
160241,175,"n:1","1992 to 1988",96
160242,175,"n:1","1992 to 1988",96
160249,175,"n:1","1992 to 1988",96
160250,176,"1:1","1992 to 1988",NA
160290,179,"1:1","1992 to 1988",NA
160300,171,"1:1","1992 to 1988",NA
160411,3711,"1:1","1992 to 1988",NA
160412,3712,"n:1","1992 to 1988",97
160413,3712,"n:1","1992 to 1988",97
160414,3713,"1:1","1992 to 1988",NA
160415,3714,"1:1","1992 to 1988",NA
160416,3715,"n:1","1992 to 1988",98
160419,3715,"n:1","1992 to 1988",98
160420,3716,"1:1","1992 to 1988",NA
160430,3717,"1:1","1992 to 1988",NA
160510,3721,"n:1","1992 to 1988",99
160520,3721,"n:1","1992 to 1988",99
160530,3721,"n:1","1992 to 1988",99
160540,3721,"n:1","1992 to 1988",99
160590,3722,"1:1","1992 to 1988",NA
170111,6111,"1:1","1992 to 1988",NA
170112,6112,"1:1","1992 to 1988",NA
170191,6121,"1:1","1992 to 1988",NA
170199,6129,"1:1","1992 to 1988",NA
170210,6191,"1:1","1992 to 1988",NA
170220,6192,"1:1","1992 to 1988",NA
170230,6193,"1:1","1992 to 1988",NA
170240,6194,"1:1","1992 to 1988",NA
170250,6195,"1:1","1992 to 1988",NA
170260,6196,"1:1","1992 to 1988",NA
170290,6199,"1:1","1992 to 1988",NA
170310,6151,"1:1","1992 to 1988",NA
170390,6159,"1:1","1992 to 1988",NA
170410,6221,"1:1","1992 to 1988",NA
170490,6229,"1:1","1992 to 1988",NA
180100,721,"1:1","1992 to 1988",NA
180200,725,"1:1","1992 to 1988",NA
180310,7231,"1:1","1992 to 1988",NA
180320,7232,"1:1","1992 to 1988",NA
180400,724,"1:1","1992 to 1988",NA
180500,722,"1:1","1992 to 1988",NA
180610,731,"1:1","1992 to 1988",NA
180620,732,"1:1","1992 to 1988",NA
180631,733,"n:1","1992 to 1988",100
180632,733,"n:1","1992 to 1988",100
180690,739,"n:1","1992 to 1988",101
190110,739,"n:n","1992 to 1988",101
