"code.source","code.target","Relationship","adjustment","group.id"
151321,4224,"n:1","1992 to 1988",NA
151329,4224,"n:1","1992 to 1988",NA
151410,4217,"n:1","1992 to 1988",NA
151490,4217,"n:1","1992 to 1988",NA
151511,4221,"n:1","1992 to 1988",NA
151519,4221,"n:1","1992 to 1988",NA
151521,4216,"n:1","1992 to 1988",NA
151529,4216,"n:1","1992 to 1988",NA
151530,4225,"1:1","1992 to 1988",NA
151540,4229,"n:1","1992 to 1988",NA
151550,4218,"1:1","1992 to 1988",NA
151560,4229,"n:1","1992 to 1988",NA
151590,4229,"n:1","1992 to 1988",NA
151610,4312,"n:1","1992 to 1988",NA
151620,4312,"n:1","1992 to 1988",NA
151710,910,"n:1","1992 to 1988",NA
151790,910,"n:1","1992 to 1988",NA
151800,4311,"1:1","1992 to 1988",NA
151911,4313,"n:1","1992 to 1988",6
151912,4313,"n:1","1992 to 1988",6
151913,4313,"n:1","1992 to 1988",6
151919,4313,"n:1","1992 to 1988",6
151920,4313,"n:1","1992 to 1988",6
151930,4313,"n:n","1992 to 1988",6
151930,5121,"n:n","1992 to 1988",6
152010,5122,"n:1","1992 to 1988",7
152090,5122,"n:1","1992 to 1988",7
152110,4314,"n:1","1992 to 1988",NA
152190,4314,"n:1","1992 to 1988",NA
152200,4313,"n:1","1992 to 1988",6
160100,172,"1:1","1992 to 1988",NA
160210,981,"n:1","1992 to 1988",NA
160220,173,"1:1","1992 to 1988",NA
160231,174,"n:1","1992 to 1988",NA
160239,174,"n:1","1992 to 1988",NA
160241,175,"n:1","1992 to 1988",NA
160242,175,"n:1","1992 to 1988",NA
160249,175,"n:1","1992 to 1988",NA
160250,176,"1:1","1992 to 1988",NA
160290,179,"1:1","1992 to 1988",NA
160300,171,"1:1","1992 to 1988",NA
160411,371,"n:1","1992 to 1988",NA
160412,371,"n:1","1992 to 1988",NA
160413,371,"n:1","1992 to 1988",NA
160414,371,"n:1","1992 to 1988",NA
160415,371,"n:1","1992 to 1988",NA
160416,371,"n:1","1992 to 1988",NA
160419,371,"n:1","1992 to 1988",NA
160420,371,"n:1","1992 to 1988",NA
160430,371,"n:1","1992 to 1988",NA
160510,372,"n:1","1992 to 1988",NA
160520,372,"n:1","1992 to 1988",NA
160530,372,"n:1","1992 to 1988",NA
160540,372,"n:1","1992 to 1988",NA
160590,372,"n:1","1992 to 1988",NA
170111,611,"n:1","1992 to 1988",NA
170112,611,"n:1","1992 to 1988",NA
170191,612,"n:1","1992 to 1988",NA
170199,612,"n:1","1992 to 1988",NA
170210,619,"n:1","1992 to 1988",NA
170220,619,"n:1","1992 to 1988",NA
170230,619,"n:1","1992 to 1988",NA
170240,619,"n:1","1992 to 1988",NA
170250,619,"n:1","1992 to 1988",NA
170260,619,"n:1","1992 to 1988",NA
170290,619,"n:1","1992 to 1988",NA
170310,615,"n:1","1992 to 1988",NA
170390,615,"n:1","1992 to 1988",NA
170410,622,"n:1","1992 to 1988",NA
170490,622,"n:1","1992 to 1988",NA
180100,721,"1:1","1992 to 1988",NA
180200,725,"1:1","1992 to 1988",NA
180310,723,"n:1","1992 to 1988",NA
180320,723,"n:1","1992 to 1988",NA
180400,724,"1:1","1992 to 1988",NA
180500,722,"1:1","1992 to 1988",NA
180610,731,"1:1","1992 to 1988",NA
180620,732,"1:1","1992 to 1988",NA
180631,733,"n:1","1992 to 1988",NA
180632,733,"n:1","1992 to 1988",NA
180690,739,"n:1","1992 to 1988",1
190110,739,"n:n","1992 to 1988",1
190110,989,"n:n","1992 to 1988",1
190120,485,"1:n","1992 to 1988",1
190120,739,"n:n","1992 to 1988",1
190190,739,"n:n","1992 to 1988",1
190190,989,"n:n","1992 to 1988",1
190211,483,"n:1","1992 to 1988",NA
190219,483,"n:1","1992 to 1988",NA
190220,989,"n:1","1992 to 1988",1
190230,989,"n:1","1992 to 1988",1
190240,989,"n:1","1992 to 1988",1
190300,564,"n:1","1992 to 1988",NA
190410,481,"n:n","1992 to 1988",1
190410,739,"n:n","1992 to 1988",1
190490,481,"n:n","1992 to 1988",1
190490,739,"n:n","1992 to 1988",1
190510,484,"n:1","1992 to 1988",NA
190520,484,"n:1","1992 to 1988",NA
190530,484,"n:1","1992 to 1988",NA
190540,484,"n:1","1992 to 1988",NA
190590,484,"n:1","1992 to 1988",NA
200110,567,"n:1","1992 to 1988",8
200120,567,"n:1","1992 to 1988",8
200190,567,"n:1","1992 to 1988",8
200210,567,"n:1","1992 to 1988",8
200290,567,"n:1","1992 to 1988",8
200310,567,"n:1","1992 to 1988",8
200320,567,"n:1","1992 to 1988",8
200410,566,"n:1","1992 to 1988",8
200490,566,"n:n","1992 to 1988",8
200490,621,"n:n","1992 to 1988",8
200510,981,"n:1","1992 to 1988",NA
200520,567,"n:1","1992 to 1988",8
200530,567,"n:1","1992 to 1988",8
200540,567,"n:n","1992 to 1988",8
200540,621,"n:n","1992 to 1988",8
200551,567,"n:n","1992 to 1988",8
200551,621,"n:n","1992 to 1988",8
200559,567,"n:n","1992 to 1988",8
200559,621,"n:n","1992 to 1988",8
200560,567,"n:n","1992 to 1988",8
200560,621,"n:n","1992 to 1988",8
200570,567,"n:n","1992 to 1988",8
200570,621,"n:n","1992 to 1988",8
200580,567,"n:n","1992 to 1988",8
200580,621,"n:n","1992 to 1988",8
200590,567,"n:n","1992 to 1988",8
200590,621,"n:n","1992 to 1988",8
200600,621,"n:1","1992 to 1988",8
200710,981,"n:1","1992 to 1988",NA
200791,581,"n:1","1992 to 1988",NA
200799,581,"n:1","1992 to 1988",NA
200811,589,"n:1","1992 to 1988",1
200819,589,"n:1","1992 to 1988",1
200820,589,"n:1","1992 to 1988",1
200830,589,"n:1","1992 to 1988",1
200840,589,"n:1","1992 to 1988",1
200850,589,"n:1","1992 to 1988",1
200860,589,"n:1","1992 to 1988",1
200870,589,"n:1","1992 to 1988",1
200880,589,"n:1","1992 to 1988",1
