"code.source","code.target","Relationship","adjustment","group.id"
51191,51191,"1:1","2022 to 2017",NA
51199,51199,"1:1","2022 to 2017",NA
60110,60110,"1:1","2022 to 2017",NA
60120,60120,"1:1","2022 to 2017",NA
60210,60210,"1:1","2022 to 2017",NA
60220,60220,"1:1","2022 to 2017",NA
60230,60230,"1:1","2022 to 2017",NA
60240,60240,"1:1","2022 to 2017",NA
60290,60290,"1:1","2022 to 2017",NA
60311,60311,"1:1","2022 to 2017",NA
60312,60312,"1:1","2022 to 2017",NA
60313,60313,"1:1","2022 to 2017",NA
60314,60314,"1:1","2022 to 2017",NA
60315,60315,"1:1","2022 to 2017",NA
60319,60319,"1:1","2022 to 2017",NA
60390,60390,"1:1","2022 to 2017",NA
60420,60420,"1:1","2022 to 2017",NA
60490,60490,"1:1","2022 to 2017",NA
70110,70110,"1:1","2022 to 2017",NA
70190,70190,"1:1","2022 to 2017",NA
70200,70200,"1:1","2022 to 2017",NA
70310,70310,"1:1","2022 to 2017",NA
70320,70320,"1:1","2022 to 2017",NA
70390,70390,"1:1","2022 to 2017",NA
70410,70410,"1:n","2022 to 2017",3
70410,70490,"n:n","2022 to 2017",3
70420,70420,"1:1","2022 to 2017",NA
70490,70490,"n:1","2022 to 2017",3
70511,70511,"1:1","2022 to 2017",NA
70519,70519,"1:1","2022 to 2017",NA
70521,70521,"1:1","2022 to 2017",NA
70529,70529,"1:1","2022 to 2017",NA
70610,70610,"1:1","2022 to 2017",NA
70690,70690,"1:1","2022 to 2017",NA
70700,70700,"1:1","2022 to 2017",NA
70810,70810,"1:1","2022 to 2017",NA
70820,70820,"1:1","2022 to 2017",NA
70890,70890,"1:1","2022 to 2017",NA
70920,70920,"1:1","2022 to 2017",NA
70930,70930,"1:1","2022 to 2017",NA
70940,70940,"1:1","2022 to 2017",NA
70951,70951,"1:1","2022 to 2017",NA
70952,70959,"n:1","2022 to 2017",NA
70953,70959,"n:1","2022 to 2017",NA
70954,70959,"n:1","2022 to 2017",NA
70955,70959,"n:1","2022 to 2017",NA
70956,70959,"n:1","2022 to 2017",NA
70959,70959,"n:1","2022 to 2017",NA
70960,70960,"1:1","2022 to 2017",NA
70970,70970,"1:1","2022 to 2017",NA
