code.after,code.before,Relationship,adjustment
2919,2919,1:1,1988 to 1976
2922,2922,1:1,1988 to 1976
2923,2923,1:1,1988 to 1976
2924,2924,n:1,1988 to 1976
2925,2925,1:1,1988 to 1976
2926,0548,n:n,1988 to 1976
2926,2926,1:n,1988 to 1976
2927,2927,n:1,1988 to 1976
2929,2929,n:n,1988 to 1976
2929,5852,n:n,1988 to 1976
2929,2924,n:n,1988 to 1976
3211,3221,1:1,1988 to 1976
3212,3222,1:1,1988 to 1976
3221,3231,n:1,1988 to 1976
3222,3223,1:n,1988 to 1976
3222,3231,n:n,1988 to 1976
3223,3224,1:n,1988 to 1976
3223,3231,n:n,1988 to 1976
3250,3232,1:1,1988 to 1976
3330,3330,1:1,1988 to 1976
3341,3341,1:1,1988 to 1976
3342,3342,1:1,1988 to 1976
3343,3343,1:1,1988 to 1976
3344,3344,1:1,1988 to 1976
3345,3345,n:1,1988 to 1976
3351,3351,1:1,1988 to 1976
3352,3352,1:1,1988 to 1976
3353,3353,1:1,1988 to 1976
3354,3354,1:1,1988 to 1976
3421,3413,n:1,1988 to 1976
3425,3413,n:1,1988 to 1976
3431,3413,n:1,1988 to 1976
3432,3414,n:1,1988 to 1976
3441,3413,n:1,1988 to 1976
3442,3413,n:1,1988 to 1976
3449,3414,n:1,1988 to 1976
3450,3415,1:1,1988 to 1976
3510,3510,1:1,1988 to 1976
4111,4111,n:n,1988 to 1976
4111,4312,n:n,1988 to 1976
4112,0913,1:n,1988 to 1976
4112,4113,n:n,1988 to 1976
4113,4113,n:n,1988 to 1976
4113,4312,n:n,1988 to 1976
4211,4232,n:n,1988 to 1976
4211,4312,n:n,1988 to 1976
4212,4233,n:n,1988 to 1976
4212,4312,n:n,1988 to 1976
4213,4234,n:n,1988 to 1976
4213,4312,n:n,1988 to 1976
4214,4235,n:n,1988 to 1976
4214,4312,n:n,1988 to 1976
4215,4236,n:n,1988 to 1976
4215,4249,n:n,1988 to 1976
4215,4312,n:n,1988 to 1976
4216,4249,n:n,1988 to 1976
4216,4312,n:n,1988 to 1976
4217,4239,n:n,1988 to 1976
4217,4312,n:n,1988 to 1976
4218,4239,n:n,1988 to 1976
4218,4312,n:n,1988 to 1976
4221,4241,n:n,1988 to 1976
4221,4312,n:n,1988 to 1976
