code.after,code.before,Relationship,adjustment
6573,6554,n:1,1976 to 1962
6574,6555,1:1,1976 to 1962
6575,6556,1:1,1976 to 1962
6576,6557,1:1,1976 to 1962
6577,6558,1:1,1976 to 1962
6579,6559,1:1,1976 to 1962
6581,6561,1:1,1976 to 1962
6582,6562,1:1,1976 to 1962
6583,6566,n:1,1976 to 1962
6584,6569,n:1,1976 to 1962
6589,6577,1:n,1976 to 1962
6589,8414,n:n,1976 to 1962
6589,6569,n:n,1976 to 1962
6591,6574,1:1,1976 to 1962
6592,6575,1:1,1976 to 1962
6593,6576,n:1,1976 to 1962
6594,6576,n:1,1976 to 1962
6595,6576,n:1,1976 to 1962
6596,6576,n:n,1976 to 1962
6596,6551,n:n,1976 to 1962
6597,6578,1:n,1976 to 1962
6597,8992,n:n,1976 to 1962
6611,6611,1:1,1976 to 1962
6612,6612,1:1,1976 to 1962
6613,6613,1:1,1976 to 1962
6618,6618,1:1,1976 to 1962
6623,6623,1:1,1976 to 1962
6624,6624,1:1,1976 to 1962
6631,6631,1:1,1976 to 1962
6632,6632,1:1,1976 to 1962
6633,6636,1:n,1976 to 1962
6633,6634,1:n,1976 to 1962
6635,6635,1:1,1976 to 1962
6637,6637,1:1,1976 to 1962
6638,6638,1:1,1976 to 1962
6639,6639,1:1,1976 to 1962
6641,6641,1:1,1976 to 1962
6642,6642,1:1,1976 to 1962
6643,6643,1:1,1976 to 1962
6644,6644,1:1,1976 to 1962
6645,6645,1:1,1976 to 1962
6646,6646,1:1,1976 to 1962
6647,6647,1:1,1976 to 1962
6648,6648,1:1,1976 to 1962
6649,6649,1:1,1976 to 1962
6651,6651,1:1,1976 to 1962
6652,6652,1:1,1976 to 1962
6658,6658,1:1,1976 to 1962
6664,6664,1:1,1976 to 1962
6665,6665,1:1,1976 to 1962
6666,6666,1:1,1976 to 1962
6671,6671,1:1,1976 to 1962
6672,6672,1:1,1976 to 1962
6673,6673,1:1,1976 to 1962
6674,6674,1:1,1976 to 1962
6712,6711,1:n,1976 to 1962
6712,6712,1:n,1976 to 1962
6713,6713,1:1,1976 to 1962
6716,6714,1:n,1976 to 1962
6716,6715,1:n,1976 to 1962
6724,6723,1:n,1976 to 1962
6724,6721,1:n,1976 to 1962
6725,6725,1:1,1976 to 1962
6727,6727,1:1,1976 to 1962
6731,6731,1:1,1976 to 1962
6732,6732,1:1,1976 to 1962
6733,6734,1:n,1976 to 1962
6733,6735,1:n,1976 to 1962
6741,6741,n:1,1976 to 1962
6744,6741,n:1,1976 to 1962
6745,6742,n:1,1976 to 1962
6746,6743,n:1,1976 to 1962
6747,6747,1:1,1976 to 1962
6749,6741,n:n,1976 to 1962
6749,6742,n:n,1976 to 1962
6749,6743,n:n,1976 to 1962
6749,6748,1:n,1976 to 1962
6750,6750,1:1,1976 to 1962
6760,6761,1:n,1976 to 1962
6760,6762,1:n,1976 to 1962
6770,6770,1:1,1976 to 1962
6781,6781,1:1,1976 to 1962
6782,6729,1:n,1976 to 1962
6782,6782,1:n,1976 to 1962
6783,6783,1:1,1976 to 1962
6784,6784,1:1,1976 to 1962
6785,6785,1:1,1976 to 1962
6793,6793,1:1,1976 to 1962
6794,6791,1:n,1976 to 1962
6794,6792,1:n,1976 to 1962
6811,6811,1:1,1976 to 1962
6812,6812,1:1,1976 to 1962
6821,6821,n:1,1976 to 1962
6822,6822,1:1,1976 to 1962
6831,6831,1:1,1976 to 1962
6832,6832,1:1,1976 to 1962
6841,6841,1:1,1976 to 1962
6842,6842,1:1,1976 to 1962
6851,6851,1:1,1976 to 1962
6852,6852,1:1,1976 to 1962
6861,6861,1:1,1976 to 1962
6863,6862,1:n,1976 to 1962
6863,2840,n:n,1976 to 1962
6871,6871,1:1,1976 to 1962
6872,6872,1:1,1976 to 1962
6880,6880,1:1,1976 to 1962
6891,6894,n:n,1976 to 1962
6891,2840,n:n,1976 to 1962
6891,6893,n:n,1976 to 1962
6899,6893,n:n,1976 to 1962
6899,6895,n:n,1976 to 1962
6899,6911,n:n,1976 to 1962
6899,6912,n:n,1976 to 1962
6899,6913,n:n,1976 to 1962
6911,6911,n:1,1976 to 1962
6912,6912,n:1,1976 to 1962
6921,6921,n:1,1976 to 1962
6924,6922,1:n,1976 to 1962
6924,6923,1:n,1976 to 1962
6931,6931,1:1,1976 to 1962
6932,6932,1:1,1976 to 1962
6935,6933,n:n,1976 to 1962
6935,6934,n:n,1976 to 1962
6940,6941,1:n,1976 to 1962
6940,6942,1:n,1976 to 1962
6951,6951,1:1,1976 to 1962
6953,6952,n:1,1976 to 1962
6954,6952,n:1,1976 to 1962
6960,6960,1:1,1976 to 1962
6973,6971,1:n,1976 to 1962
6973,7194,n:n,1976 to 1962
6974,6972,n:n,1976 to 1962
6974,6979,n:n,1976 to 1962
6975,8123,1:n,1976 to 1962
6975,6972,n:n,1976 to 1962
6978,7194,n:n,1976 to 1962
6978,6979,n:n,1976 to 1962
6991,6981,1:n,1976 to 1962
6991,6982,1:n,1976 to 1962
6992,6983,1:1,1976 to 1962
6993,6985,1:n,1976 to 1962
6993,6988,n:n,1976 to 1962
6994,6988,n:n,1976 to 1962
6994,6986,1:n,1976 to 1962
6996,6988,n:1,1976 to 1962
6997,6984,1:n,1976 to 1962
6997,6989,n:n,1976 to 1962
6998,6921,n:n,1976 to 1962
6998,6988,n:n,1976 to 1962
6998,6989,n:n,1976 to 1962
6998,6933,n:n,1976 to 1962
6998,6934,n:n,1976 to 1962
6998,6913,n:n,1976 to 1962
6999,6894,n:n,1976 to 1962
