code.after,code.before,Relationship,adjustment
52328,51434,1:1,1976 to 1962
52329,51415,1:n,1976 to 1962
52329,51416,1:n,1976 to 1962
52329,51427,1:n,1976 to 1962
52329,51436,1:n,1976 to 1962
52331,51435,1:1,1976 to 1962
52332,51437,1:1,1976 to 1962
52391,51492,1:1,1976 to 1962
52392,51493,1:1,1976 to 1962
52393,51494,1:1,1976 to 1962
52394,51495,1:1,1976 to 1962
52395,51496,1:1,1976 to 1962
52399,51491,1:n,1976 to 1962
52399,51499,1:n,1976 to 1962
5241,5151,1:1,1976 to 1962
52491,5152,1:1,1976 to 1962
52492,5153,1:1,1976 to 1962
5311,53101,n:1,1976 to 1962
53121,53101,n:1,1976 to 1962
53122,53102,1:1,1976 to 1962
53221,5324,1:n,1976 to 1962
53221,5325,1:n,1976 to 1962
53222,5321,1:1,1976 to 1962
5323,5323,1:1,1976 to 1962
5331,5331,1:1,1976 to 1962
5332,5332,1:1,1976 to 1962
53341,53332,n:1,1976 to 1962
53342,53332,n:1,1976 to 1962
53343,53332,n:1,1976 to 1962
53344,53332,n:1,1976 to 1962
53351,53331,1:1,1976 to 1962
53352,53333,1:1,1976 to 1962
53353,53334,1:1,1976 to 1962
53354,53335,1:1,1976 to 1962
5411,5411,1:1,1976 to 1962
54131,5413,n:1,1976 to 1962
54132,5413,n:1,1976 to 1962
54133,5413,n:1,1976 to 1962
54139,5413,n:1,1976 to 1962
5414,5414,1:1,1976 to 1962
54151,5415,n:1,1976 to 1962
54152,5415,n:1,1976 to 1962
54153,5415,n:1,1976 to 1962
54159,5415,n:1,1976 to 1962
54161,54161,1:1,1976 to 1962
54162,54162,1:1,1976 to 1962
54164,54163,n:1,1976 to 1962
54165,54163,n:1,1976 to 1962
54171,5417,n:1,1976 to 1962
54172,5417,n:1,1976 to 1962
54173,5417,n:1,1976 to 1962
54179,5417,n:1,1976 to 1962
54191,54191,1:1,1976 to 1962
54199,54199,1:1,1976 to 1962
5513,5511,1:n,1976 to 1962
5513,55121,1:n,1976 to 1962
5513,55122,1:n,1976 to 1962
5514,55123,1:1,1976 to 1962
5530,55124,1:n,1976 to 1962
5530,5530,1:n,1976 to 1962
5541,5541,1:1,1976 to 1962
5542,5542,1:1,1976 to 1962
5543,5543,1:1,1976 to 1962
56211,51274,n:n,1976 to 1962
56211,5611,n:n,1976 to 1962
56212,51274,n:n,1976 to 1962
56212,5611,n:n,1976 to 1962
56213,51274,n:n,1976 to 1962
56213,5611,n:n,1976 to 1962
56214,51274,n:n,1976 to 1962
56214,5611,n:n,1976 to 1962
56215,51274,n:n,1976 to 1962
56215,5611,n:n,1976 to 1962
56216,51274,n:n,1976 to 1962
56216,5611,n:n,1976 to 1962
56219,51274,n:n,1976 to 1962
56219,5611,n:n,1976 to 1962
56221,56121,1:1,1976 to 1962
56222,56129,n:1,1976 to 1962
56229,56129,n:1,1976 to 1962
56231,5613,n:1,1976 to 1962
56232,5613,n:1,1976 to 1962
56239,5613,n:1,1976 to 1962
56291,5619,n:1,1976 to 1962
56292,5619,n:1,1976 to 1962
56293,5619,n:1,1976 to 1962
56299,5619,n:1,1976 to 1962
57211,57111,1:1,1976 to 1962
57212,57112,1:1,1976 to 1962
5722,57121,1:n,1976 to 1962
5722,57122,1:n,1976 to 1962
5723,5713,1:1,1976 to 1962
58211,5811,n:1,1976 to 1962
58212,5811,n:1,1976 to 1962
58219,5811,n:1,1976 to 1962
58221,5811,n:1,1976 to 1962
58222,5811,n:1,1976 to 1962
58229,5811,n:1,1976 to 1962
58231,5811,n:1,1976 to 1962
58232,5811,n:1,1976 to 1962
