,code.before,code.after,Relationship,adjustment
357,332117,332117,1:1,2007 to 2012
358,332115,332119,n:1,2007 to 2012
359,332116,332119,n:1,2007 to 2012
360,332211,332215,n:1,2007 to 2012
361,332214,332215,n:1,2007 to 2012
362,332212,332216,n:1,2007 to 2012
363,332213,332216,n:1,2007 to 2012
364,332311,332311,1:1,2007 to 2012
365,332312,332312,1:1,2007 to 2012
366,332313,332313,1:1,2007 to 2012
367,332321,332321,1:1,2007 to 2012
368,332322,332322,1:1,2007 to 2012
369,332323,332323,1:1,2007 to 2012
370,332410,332410,1:1,2007 to 2012
371,332420,332420,1:1,2007 to 2012
372,332431,332431,1:1,2007 to 2012
373,332439,332439,1:1,2007 to 2012
374,332510,332510,1:1,2007 to 2012
375,332611,332613,n:1,2007 to 2012
376,332612,332613,n:1,2007 to 2012
377,332618,332618,1:1,2007 to 2012
378,332710,332710,1:1,2007 to 2012
379,332721,332721,1:1,2007 to 2012
380,332722,332722,1:1,2007 to 2012
381,332811,332811,1:1,2007 to 2012
382,332812,332812,1:1,2007 to 2012
383,332813,332813,1:1,2007 to 2012
384,332911,332911,1:1,2007 to 2012
385,332912,332912,1:1,2007 to 2012
386,332913,332913,1:1,2007 to 2012
387,332919,332919,1:1,2007 to 2012
388,332991,332991,1:1,2007 to 2012
389,332992,332992,1:1,2007 to 2012
390,332993,332993,1:1,2007 to 2012
391,332994,332994,n:1,2007 to 2012
392,332995,332994,n:1,2007 to 2012
393,332996,332996,1:1,2007 to 2012
394,332997,332999,n:1,2007 to 2012
395,332998,332999,n:1,2007 to 2012
396,332999,332999,n:1,2007 to 2012
397,333111,333111,1:1,2007 to 2012
398,333112,333112,1:1,2007 to 2012
399,333120,333120,1:1,2007 to 2012
400,333131,333131,1:1,2007 to 2012
401,333132,333132,1:1,2007 to 2012
402,333294,333241,1:1,2007 to 2012
403,333295,333242,1:1,2007 to 2012
404,333210,333243,n:1,2007 to 2012
405,333291,333243,n:1,2007 to 2012
406,333293,333244,1:1,2007 to 2012
407,333220,333249,n:1,2007 to 2012
408,333292,333249,n:1,2007 to 2012
409,333298,333249,n:1,2007 to 2012
410,333314,333314,1:1,2007 to 2012
411,333315,333316,n:1,2007 to 2012
412,334119,333316,n:n,2007 to 2012
413,333311,333318,n:1,2007 to 2012
414,333312,333318,n:1,2007 to 2012
415,333313,333318,n:1,2007 to 2012
416,333319,333318,n:1,2007 to 2012
417,333411,333413,n:1,2007 to 2012
418,333412,333413,n:1,2007 to 2012
419,333414,333414,1:1,2007 to 2012
420,333415,333415,1:1,2007 to 2012
421,333511,333511,1:1,2007 to 2012
422,333514,333514,1:1,2007 to 2012
423,333515,333515,1:1,2007 to 2012
424,333512,333517,n:1,2007 to 2012
425,333513,333517,n:1,2007 to 2012
426,333516,333519,n:1,2007 to 2012
427,333518,333519,n:1,2007 to 2012
428,333611,333611,1:1,2007 to 2012
429,333612,333612,1:1,2007 to 2012
430,333613,333613,1:1,2007 to 2012
431,333618,333618,1:1,2007 to 2012
432,333911,333911,1:1,2007 to 2012
433,333912,333912,1:1,2007 to 2012
434,333913,333913,1:1,2007 to 2012
435,333921,333921,1:1,2007 to 2012
436,333922,333922,1:1,2007 to 2012
437,333923,333923,1:1,2007 to 2012
438,333924,333924,1:1,2007 to 2012
439,333991,333991,1:1,2007 to 2012
440,333992,333992,1:1,2007 to 2012
441,333993,333993,1:1,2007 to 2012
442,333994,333994,1:1,2007 to 2012
443,333995,333995,1:1,2007 to 2012
444,333996,333996,1:1,2007 to 2012
445,333997,333997,1:1,2007 to 2012
446,333999,333999,1:1,2007 to 2012
447,334111,334111,1:1,2007 to 2012
448,334112,334112,1:1,2007 to 2012
449,334113,334118,n:1,2007 to 2012
450,334119,334118,n:n,2007 to 2012
451,334210,334210,1:1,2007 to 2012
452,334220,334220,1:1,2007 to 2012
453,334290,334290,1:1,2007 to 2012
454,334310,334310,1:1,2007 to 2012
455,334412,334412,1:1,2007 to 2012
456,334413,334413,1:1,2007 to 2012
457,334414,334416,n:1,2007 to 2012
458,334415,334416,n:1,2007 to 2012
459,334416,334416,n:1,2007 to 2012
460,334417,334417,1:1,2007 to 2012
461,334418,334418,1:1,2007 to 2012
462,334411,334419,n:1,2007 to 2012
463,334419,334419,n:1,2007 to 2012
464,334510,334510,1:1,2007 to 2012
465,334511,334511,1:1,2007 to 2012
466,334512,334512,1:1,2007 to 2012
467,334513,334513,1:1,2007 to 2012
468,334514,334514,1:1,2007 to 2012
469,334515,334515,1:1,2007 to 2012
470,334516,334516,1:1,2007 to 2012
471,334517,334517,1:1,2007 to 2012
472,334518,334519,n:1,2007 to 2012
473,334519,334519,n:1,2007 to 2012
474,334613,334613,1:1,2007 to 2012
475,334611,334614,n:1,2007 to 2012
476,334612,334614,n:1,2007 to 2012
477,335110,335110,1:1,2007 to 2012
478,335121,335121,1:1,2007 to 2012
479,335122,335122,1:1,2007 to 2012
480,335129,335129,1:1,2007 to 2012
481,335211,335210,n:1,2007 to 2012
482,335212,335210,n:1,2007 to 2012
483,335221,335221,1:1,2007 to 2012
484,335222,335222,1:1,2007 to 2012
485,335224,335224,1:1,2007 to 2012
486,335228,335228,1:1,2007 to 2012
487,335311,335311,1:1,2007 to 2012
488,335312,335312,1:1,2007 to 2012
489,335313,335313,1:1,2007 to 2012
490,335314,335314,1:1,2007 to 2012
491,335911,335911,1:1,2007 to 2012
492,335912,335912,1:1,2007 to 2012
493,335921,335921,1:1,2007 to 2012
494,335929,335929,1:1,2007 to 2012
495,335931,335931,1:1,2007 to 2012
496,335932,335932,1:1,2007 to 2012
497,335991,335991,1:1,2007 to 2012
498,335999,335999,1:1,2007 to 2012
499,336111,336111,1:1,2007 to 2012
500,336112,336112,1:1,2007 to 2012
501,336120,336120,1:1,2007 to 2012
502,336211,336211,1:1,2007 to 2012
503,336212,336212,1:1,2007 to 2012
504,336213,336213,1:1,2007 to 2012
505,336214,336214,1:1,2007 to 2012
506,336311,336310,n:1,2007 to 2012
507,336312,336310,n:1,2007 to 2012
508,336321,336320,n:1,2007 to 2012
509,336322,336320,n:1,2007 to 2012
510,336330,336330,1:1,2007 to 2012
511,336340,336340,1:1,2007 to 2012
512,336350,336350,1:1,2007 to 2012
513,336360,336360,1:1,2007 to 2012
514,336370,336370,1:1,2007 to 2012
515,336391,336390,n:1,2007 to 2012
516,336399,336390,n:1,2007 to 2012
517,336411,336411,1:1,2007 to 2012
518,336412,336412,1:1,2007 to 2012
519,336413,336413,1:1,2007 to 2012
520,336414,336414,1:1,2007 to 2012
521,336415,336415,1:1,2007 to 2012
522,336419,336419,1:1,2007 to 2012
523,336510,336510,1:1,2007 to 2012
524,336611,336611,1:1,2007 to 2012
525,336612,336612,1:1,2007 to 2012
526,336991,336991,1:1,2007 to 2012
527,336992,336992,1:1,2007 to 2012
528,336999,336999,1:1,2007 to 2012
529,337110,337110,1:1,2007 to 2012
530,337121,337121,1:1,2007 to 2012
531,337122,337122,1:1,2007 to 2012
532,337124,337124,1:1,2007 to 2012
533,337125,337125,1:1,2007 to 2012
534,337127,337127,1:1,2007 to 2012
535,337211,337211,1:1,2007 to 2012
536,337212,337212,1:1,2007 to 2012
537,337214,337214,1:1,2007 to 2012
538,337215,337215,1:1,2007 to 2012
539,337910,337910,1:1,2007 to 2012
540,337920,337920,1:1,2007 to 2012
541,339112,339112,1:1,2007 to 2012
542,339113,339113,1:1,2007 to 2012
543,339114,339114,1:1,2007 to 2012
544,339115,339115,1:1,2007 to 2012
545,339116,339116,1:1,2007 to 2012
546,339911,339910,n:1,2007 to 2012
547,339912,339910,n:1,2007 to 2012
548,339913,339910,n:1,2007 to 2012
549,339914,339910,n:1,2007 to 2012
550,339920,339920,1:1,2007 to 2012
551,339931,339930,n:1,2007 to 2012
552,339932,339930,n:1,2007 to 2012
553,339941,339940,n:1,2007 to 2012
554,339942,339940,n:1,2007 to 2012
555,339943,339940,n:1,2007 to 2012
556,339944,339940,n:1,2007 to 2012
557,339950,339950,1:1,2007 to 2012
558,339991,339991,1:1,2007 to 2012
559,339992,339992,1:1,2007 to 2012
560,339993,339993,1:1,2007 to 2012
561,339994,339994,1:1,2007 to 2012
562,339995,339995,1:1,2007 to 2012
563,339999,339999,1:1,2007 to 2012
564,423110,423110,1:1,2007 to 2012
565,423120,423120,1:1,2007 to 2012
566,423130,423130,1:1,2007 to 2012
567,423140,423140,1:1,2007 to 2012
568,423210,423210,1:1,2007 to 2012
569,423220,423220,1:1,2007 to 2012
570,423310,423310,1:1,2007 to 2012
571,423320,423320,1:1,2007 to 2012
572,423330,423330,1:1,2007 to 2012
573,423390,423390,1:1,2007 to 2012
574,423410,423410,1:1,2007 to 2012
575,423420,423420,1:1,2007 to 2012
576,423430,423430,1:1,2007 to 2012
577,423440,423440,1:1,2007 to 2012
